tf,n_targets,layer,obs_dist,null_dist_mean,null_dist_std,z_dist
ATM,22,0,17.08546283598502,17.55419053145746,0.394707775430275,-1.1875309397223728
ATM,22,1,15.111250874323497,15.848719574930678,0.3874750649704159,-1.9032675061645254
ATM,22,2,14.2923679846057,14.622054661777915,0.7049111284755882,-0.46769963454142205
ATM,22,3,14.095248255506617,14.832405905494488,0.7168199680680909,-1.028372091774442
ATM,22,4,13.241904195782748,13.951045490536433,0.9412043266500778,-0.7534403260529536
ATM,22,5,12.789019271125667,13.766051660583637,0.9103112232791185,-1.0732948957154544
ATM,22,6,12.532449831465408,13.41601272301521,1.0339096115403719,-0.8545842708952331
ATM,22,7,12.237348110336942,13.186268605123775,1.0496087359136363,-0.9040706906472545
ATM,22,8,11.897801832735036,12.797682941457516,1.1104647485851271,-0.8103644081174509
ATM,22,9,10.622561187266655,12.006350054391076,0.9989959183490947,-1.3851797006450453
ATM,22,10,8.809661965683732,10.676655960760652,1.665751933677423,-1.1208115430220282
ATM,22,11,6.877578560736577,8.72391521841461,1.616079831029675,-1.1424786215552558
BACH2,14,0,18.189638586606996,17.705777119095423,0.5195344917669306,0.9313365622096937
BACH2,14,1,16.589577155359564,15.365522202915903,0.5357976940013955,2.2845468842956094
BACH2,14,2,15.96774318189035,14.88514385583997,0.8167277896697466,1.3255326189992156
BACH2,14,3,16.03722470848187,14.597949323065354,0.7892370173146799,1.8236288387910924
BACH2,14,4,15.516684459255467,14.268459870045154,0.9857803449070042,1.2662299422576406
BACH2,14,5,15.206879300621269,13.365560098124899,0.9965431425760019,1.8477064602909965
BACH2,14,6,15.123360254998788,13.035968576622214,1.2378589693448834,1.6862920010033877
BACH2,14,7,15.082333530302769,13.300786406401684,1.2886876639285725,1.3824506695982695
BACH2,14,8,15.160333072507399,13.392931106531284,1.1983088493218172,1.4749135558636453
BACH2,14,9,14.403135067106177,12.259785015126297,1.4999964008868392,1.4289034631767599
BACH2,14,10,13.413611967630562,10.880838838309078,1.8816834969299667,1.3460144245585366
BACH2,14,11,11.383131177992114,8.854398733820627,1.6701961254959892,1.5140332357198727
BATF,12,0,17.79640213224586,17.600830155211586,0.5940211552561215,0.32923402694294496
BATF,12,1,15.680632934777316,15.660617635418806,0.8378044858686986,0.02389017926748978
BATF,12,2,14.877780877822778,14.717545947450422,0.8210822704125134,0.19515088334796668
BATF,12,3,14.874105316655363,14.77606518756782,0.8829433592112835,0.11103784638588915
BATF,12,4,14.047005711622951,14.288165062388554,0.9792982093833887,-0.24625731820488872
