tf,n_targets,mean_z_dist,n_sig_closer,n_layers
ATM,22,-1.0525912190711197,0,12
BACH2,14,1.5259657213970599,0,12
BATF,12,-0.059383881176925474,0,12
CEBPD,10,0.11782749340258354,0,12
CIITA,24,0.0007630675779614418,0,12
EGR1,36,-0.3629937078677583,0,12
EGR3,16,-0.10651474299769909,0,12
ELF1,11,-0.6268208984977314,0,12
EOMES,14,0.9753046891625284,0,12
ETS1,28,1.1600562785717297,0,12
FLI1,21,0.739198244315809,0,12
FOS,25,2.204558010471963,0,12
FOSB,13,0.7923613589367422,0,12
FOXP3,18,-0.30207651722536394,0,12
GATA3,24,0.5839466872365897,0,12
GBX2,17,0.7032709773140698,0,12
HDAC9,20,0.07838647283034572,0,12
HDGF,16,1.1388259037030866,0,12
HIF1A,29,-0.15348546312708103,0,12
HIF3A,11,0.8649557525703973,0,12
HIPK2,12,-0.6517973062417972,0,12
HOPX,17,0.7942894506610094,0,12
IRF4,18,0.5507781219747869,0,12
IRF8,19,-0.299530500005275,0,12
JARID2,16,-0.07184516170910578,0,12
JUN,39,1.378728892531723,0,12
JUNB,10,0.49379611281160246,0,12
KLF14,12,-0.5966634538910054,0,12
KLF2,21,0.37334058245754487,0,12
KLF6,30,-0.9234589201829522,0,12
LEF1,22,-0.22651998320743683,0,12
LRRFIP1,13,-0.4531899640060519,0,12
MAFA,12,1.5190586031906175,0,12
MEF2C,12,-1.6923769843647776,2,12
MYBL1,11,-1.57397609318048,2,12
NCOA3,16,1.1094846818127906,0,12
NEAT1,16,1.5945341484932343,0,12
NFATC2,14,1.498576563337539,0,12
NFIB,12,-0.15538590562299065,0,12
NR3C2,26,1.9956713888857245,0,12
NR4A2,15,1.333946203372059,0,12
PAX5,23,0.00254716973453184,0,12
PCBD1,19,0.8839773527957071,0,12
POU1F1,17,0.2580577764196294,0,12
POU2AF1,19,0.10032724724146476,0,12
POU2F2,15,-1.3685451884789177,0,12
PRDM1,18,-0.6022696229246269,0,12
PTTG1,13,-0.21007165491507276,0,12
REL,27,0.9227513826308539,0,12
RFX3,19,-0.38122856988107284,0,12
RUNX1,17,0.5933202586923213,0,12
RUNX3,15,1.1115786174521347,0,12
SLA2,11,0.6839944526522741,0,12
SP100,23,0.8037831069616828,0,12
STAT4,13,-1.6879101998087964,4,12
TBX21,22,-1.0241973757860359,0,12
TCF4,22,-1.0742132669427453,0,12
TLX1,16,-0.36862927772075854,0,12
TNFAIP3,14,-0.5170809397473944,0,12
TRERF1,23,-0.28625921163080387,0,12
TSC22D3,12,0.5736399167225943,0,12
ZEB1,22,0.2377880196681986,0,12
ZEB2,12,-0.07769085469113081,0,12
ZFP36,16,1.4190504502307881,0,12
