layer_i,layer_j,cka
0,0,0.9999999891302795
0,1,0.9991675782916127
0,2,0.9987227633652828
0,3,0.9985724773245148
0,4,0.9984863659990708
0,5,0.9981394168643775
0,6,0.9979908781317601
0,7,0.9977627795274167
0,8,0.9974608398534625
0,9,0.997387919865774
0,10,0.9968907367329708
0,11,0.9965556850880956
1,0,0.9991675782916127
1,1,1.0000000264944626
1,2,0.9998441031966983
1,3,0.99974682395546
1,4,0.9996592605680705
1,5,0.9994728249616905
1,6,0.9992870636297753
1,7,0.9989372379440135
1,8,0.9987451088489345
1,9,0.9988862772540633
1,10,0.9986603248715936
1,11,0.9987926341495534
2,0,0.9987227633652828
2,1,0.9998441031966983
2,2,1.0000000099999498
2,3,0.9999401937233265
2,4,0.9998262979153922
2,5,0.9996496043749247
2,6,0.9994509904604888
2,7,0.9990855286289179
2,8,0.9989543985077701
2,9,0.9991768591927214
2,10,0.9990512080865592
2,11,0.999091948657487
3,0,0.9985724773245148
3,1,0.99974682395546
3,2,0.9999401937233265
3,3,0.999999955821599
3,4,0.999922599095531
3,5,0.9997908712463721
3,6,0.9996219968991688
3,7,0.9993008412587803
3,8,0.9991634939358826
3,9,0.9993034907675609
3,10,0.9990577825056735
3,11,0.9990664108052328
4,0,0.9984863659990708
4,1,0.9996592605680705
4,2,0.9998262979153922
4,3,0.999922599095531
4,4,0.9999999922464292
4,5,0.9999374051411196
4,6,0.9998235184626514
4,7,0.9995855836662486
4,8,0.9994580806913517
4,9,0.9995196139751144
4,10,0.999157561135331
4,11,0.9991146973746773
5,0,0.9981394168643775
5,1,0.9994728249616905
5,2,0.9996496043749247
5,3,0.9997908712463721
5,4,0.9999374051411196
5,5,0.9999999702606224
5,6,0.9999458859463208
5,7,0.9997830541492949
5,8,0.9996663714937937
5,9,0.9996403048972542
5,10,0.9991335063276978
5,11,0.9991319272320754
6,0,0.9979908781317601
6,1,0.9992870636297753
6,2,0.9994509904604888
6,3,0.9996219968991688
6,4,0.9998235184626514
6,5,0.9999458859463208
6,6,1.0000000396932878
6,7,0.9999151499247126
6,8,0.9998315242108847
6,9,0.9997236258966221
6,10,0.999070199703607
6,11,0.9989671568707293
7,0,0.9977627795274167
7,1,0.9989372379440135
7,2,0.9990855286289179
7,3,0.9993008412587803
7,4,0.9995855836662486
7,5,0.9997830541492949
7,6,0.9999151499247126
7,7,1.000000018720752
7,8,0.9999298660309276
7,9,0.9996563911590785
7,10,0.9987721766279217
7,11,0.9985893401192217
8,0,0.9974608398534625
8,1,0.9987451088489345
8,2,0.9989543985077701
8,3,0.9991634939358826
8,4,0.9994580806913517
8,5,0.9996663714937937
8,6,0.9998315242108847
8,7,0.9999298660309276
8,8,1.0000000212143116
8,9,0.999797666901153
8,10,0.9989701657795916
8,11,0.9986493649521426
9,0,0.997387919865774
9,1,0.9988862772540633
9,2,0.9991768591927214
9,3,0.9993034907675609
9,4,0.9995196139751144
9,5,0.9996403048972542
9,6,0.9997236258966221
9,7,0.9996563911590785
9,8,0.999797666901153
9,9,0.9999999715733054
9,10,0.9996267379507237
9,11,0.9992309480335301
10,0,0.9968907367329708
10,1,0.9986603248715936
10,2,0.9990512080865592
10,3,0.9990577825056735
10,4,0.999157561135331
10,5,0.9991335063276978
10,6,0.999070199703607
10,7,0.9987721766279217
10,8,0.9989701657795916
10,9,0.9996267379507237
10,10,1.0000000434399474
10,11,0.9995935437525477
11,0,0.9965556850880956
11,1,0.9987926341495534
11,2,0.999091948657487
11,3,0.9990664108052328
11,4,0.9991146973746773
11,5,0.9991319272320754
11,6,0.9989671568707293
11,7,0.9985893401192217
11,8,0.9986493649521426
11,9,0.9992309480335301
11,10,0.9995935437525477
11,11,0.9999999965841191
