go_term,n_term_genes,n_in_top,n_in_bot,odds_ratio,p_fisher
GO:0006357,56,22,9,3.5793650793650795,0.0044447539968346
GO:0002376,37,13,4,4.04054054054054,0.015506369774603766
GO:0006355,47,18,8,2.953125,0.019503149979580643
GO:0032743,6,5,0,249999999999.99997,0.028142247214412164
GO:0000122,43,15,7,2.63265306122449,0.04483629906340912
GO:0030154,29,11,4,3.2435897435897436,0.04525900228960875
GO:0007155,17,8,2,4.571428571428571,0.045823577644066665
GO:0007399,10,6,1,6.681818181818182,0.05587480885907363
GO:0050853,10,4,0,200000000000.0,0.058731646360512334
GO:0001764,5,4,0,200000000000.0,0.058731646360512334
GO:0006366,6,4,0,200000000000.0,0.058731646360512334
GO:0030182,11,7,2,3.9069767441860463,0.07975250730751053
GO:0045893,43,16,9,2.1437908496732025,0.08257695376955769
GO:0006954,29,8,3,2.984126984126984,0.09985853970066241
GO:0010468,16,5,1,5.444444444444445,0.10220079251549678
GO:0051216,8,5,1,5.444444444444445,0.10220079251549678
GO:0045429,10,3,0,150000000000.0,0.12121212121212122
GO:0007160,5,3,0,150000000000.0,0.12121212121212122
GO:0010467,13,6,2,3.272727272727273,0.1343301037610806
GO:0045944,68,22,16,1.6696428571428572,0.15148304705961196
GO:0050728,15,4,1,4.260869565217392,0.18108924294491302
GO:0050729,11,4,1,4.260869565217392,0.18108924294491302
GO:0001819,10,4,1,4.260869565217392,0.18108924294491302
GO:0098609,9,4,1,4.260869565217392,0.18108924294491302
GO:0032753,8,4,1,4.260869565217392,0.18108924294491302
GO:0019221,8,4,1,4.260869565217392,0.18108924294491302
GO:0042127,16,4,1,4.260869565217392,0.18108924294491302
GO:0010628,30,9,5,1.975609756097561,0.19403123578918094
GO:0009410,17,5,2,2.6666666666666665,0.21801575165655468
GO:0006955,47,14,10,1.5555555555555556,0.24147255778731866
GO:0051897,16,6,3,2.1363636363636362,0.2434852966682207
GO:0050918,5,2,0,100000000000.0,0.24747474747474746
GO:0009636,7,2,0,100000000000.0,0.24747474747474746
GO:0007420,5,2,0,100000000000.0,0.24747474747474746
GO:0009791,5,2,0,100000000000.0,0.24747474747474746
GO:0140467,5,2,0,100000000000.0,0.24747474747474746
GO:0034097,6,2,0,100000000000.0,0.24747474747474746
GO:0030890,5,2,0,100000000000.0,0.24747474747474746
GO:0030217,7,2,0,100000000000.0,0.24747474747474746
GO:0042742,7,2,0,100000000000.0,0.24747474747474746
GO:0007159,6,2,0,100000000000.0,0.24747474747474746
GO:0071345,5,2,0,100000000000.0,0.24747474747474746
GO:0031295,7,2,0,100000000000.0,0.24747474747474746
GO:0050900,6,2,0,100000000000.0,0.24747474747474746
GO:0034116,5,2,0,100000000000.0,0.24747474747474746
GO:0051240,5,2,0,100000000000.0,0.24747474747474746
GO:0002062,5,2,0,100000000000.0,0.24747474747474746
GO:0002250,23,7,4,1.872093023255814,0.2622775826265928
GO:0071277,7,3,1,3.127659574468085,0.3086535457669478
GO:0071346,9,3,1,3.127659574468085,0.3086535457669478
GO:0007507,8,3,1,3.127659574468085,0.3086535457669478
GO:0042832,5,3,1,3.127659574468085,0.3086535457669478
GO:0030097,9,3,1,3.127659574468085,0.3086535457669478
