layer,effective_rank,twonn_id
0,7.891773700714111,10.333169244785216
1,5.404919147491455,9.889414567742662
2,4.4356889724731445,9.921279934886021
3,4.0782928466796875,10.022658202083171
4,3.3007264137268066,8.857045966396184
5,3.020176649093628,8.795161931500619
6,2.772695541381836,9.608211989704403
7,2.513336181640625,9.331429356166039
8,2.2650556564331055,9.336383254722469
9,1.8137385845184326,9.203357396311317
10,1.4204779863357544,9.148861444103659
11,1.2788589000701904,8.515930921481313
