go_term,n_term_in_top50,n_term_in_bot50,OR_top50_vs_bot50,p_top50_vs_bot50,bh_fdr_sig
GO:0000981,21,9,3.2988505747126435,0.007808493286603394,False
GO:0006357,20,9,3.037037037037037,0.013302600793225755,False
GO:0000978,21,10,2.896551724137931,0.014872345795117856,False
GO:0000785,21,10,2.896551724137931,0.014872345795117856,False
GO:0032743,5,0,inf,0.028142247214412164,False
GO:0000122,15,7,2.63265306122449,0.04483629906340912,False
GO:0009897,12,5,2.8421052631578947,0.05418479204411025,False
GO:0050853,4,0,inf,0.058731646360512334,False
GO:0006366,4,0,inf,0.058731646360512334,False
GO:0031663,4,0,inf,0.058731646360512334,False
GO:0003677,9,3,3.4390243902439024,0.06062247876911747,False
GO:1990837,14,7,2.388888888888889,0.06980801541063306,False
GO:0005654,22,14,2.020408163265306,0.07213530458102357,False
GO:0045944,22,14,2.020408163265306,0.07213530458102357,False
GO:0003700,11,5,2.5384615384615383,0.08568757941293909,False
GO:0048661,5,1,5.444444444444445,0.10220079251549678,False
GO:0003682,5,1,5.444444444444445,0.10220079251549678,False
GO:0005887,13,7,2.158301158301158,0.10535334138235722,False
GO:0001228,13,7,2.158301158301158,0.10535334138235722,False
GO:0045893,14,8,2.0416666666666665,0.11350851901827493,False
GO:0009636,3,0,inf,0.12121212121212122,False
GO:0045429,3,0,inf,0.12121212121212122,False
GO:0001764,3,0,inf,0.12121212121212122,False
GO:0030097,3,0,inf,0.12121212121212122,False
GO:0004888,3,0,inf,0.12121212121212122,False
GO:0007160,3,0,inf,0.12121212121212122,False
GO:0009410,6,2,3.272727272727273,0.1343301037610806,False
GO:0005829,20,14,1.7142857142857142,0.14558664737222907,False
GO:0006954,8,4,2.1904761904761907,0.17833066156375238,False
GO:0001666,4,1,4.260869565217392,0.18108924294491302,False
GO:0006974,4,1,4.260869565217392,0.18108924294491302,False
GO:0098609,4,1,4.260869565217392,0.18108924294491302,False
GO:0050729,4,1,4.260869565217392,0.18108924294491302,False
GO:0045121,4,1,4.260869565217392,0.18108924294491302,False
GO:0043005,4,1,4.260869565217392,0.18108924294491302,False
GO:0007568,4,1,4.260869565217392,0.18108924294491302,False
GO:0000976,4,1,4.260869565217392,0.18108924294491302,False
GO:0032753,4,1,4.260869565217392,0.18108924294491302,False
GO:0043231,5,2,2.6666666666666665,0.21801575165655468,False
GO:0008270,5,2,2.6666666666666665,0.21801575165655468,False
GO:0030154,5,2,2.6666666666666665,0.21801575165655468,False
GO:0001227,5,2,2.6666666666666665,0.21801575165655468,False
GO:0007155,5,2,2.6666666666666665,0.21801575165655468,False
GO:0043235,5,2,2.6666666666666665,0.21801575165655468,False
GO:0038023,6,3,2.1363636363636362,0.2434852966682207,False
GO:0007420,2,0,inf,0.24747474747474746,False
GO:0007507,2,0,inf,0.24747474747474746,False
GO:0009791,2,0,inf,0.24747474747474746,False
GO:0030890,2,0,inf,0.24747474747474746,False
GO:0031295,2,0,inf,0.24747474747474746,False
GO:0050728,2,0,inf,0.24747474747474746,False
GO:0000165,2,0,inf,0.24747474747474746,False
GO:0030217,2,0,inf,0.24747474747474746,False
GO:0140467,2,0,inf,0.24747474747474746,False
GO:0070542,2,0,inf,0.24747474747474746,False
GO:0034116,2,0,inf,0.24747474747474746,False
GO:0071407,2,0,inf,0.24747474747474746,False
GO:0001772,2,0,inf,0.24747474747474746,False
GO:0015026,2,0,inf,0.24747474747474746,False
GO:0042127,2,0,inf,0.24747474747474746,False
GO:0046983,2,0,inf,0.24747474747474746,False
GO:0008134,2,0,inf,0.24747474747474746,False
GO:0002062,2,0,inf,0.24747474747474746,False
GO:0007283,2,0,inf,0.24747474747474746,False
GO:0010628,7,4,1.872093023255814,0.2622775826265928,False
GO:0042803,3,1,3.127659574468085,0.3086535457669478,False
GO:0030246,3,1,3.127659574468085,0.3086535457669478,False
GO:0042832,3,1,3.127659574468085,0.3086535457669478,False
GO:0032757,3,1,3.127659574468085,0.3086535457669478,False
GO:0030593,3,1,3.127659574468085,0.3086535457669478,False
GO:0007566,3,1,3.127659574468085,0.3086535457669478,False
GO:1901224,3,1,3.127659574468085,0.3086535457669478,False
