gene,sv1_loading,sv2_loading,sv3_loading,sv1_abs
HIF3A,-0.017675893381237984,-0.00333646428771317,0.0151891577988863,0.017675893381237984
CYBB,-0.017634054645895958,0.01131068728864193,-0.009212305769324303,0.017634054645895958
KLF2,-0.01760045997798443,0.006505703553557396,-0.024074219167232513,0.01760045997798443
CD79A,-0.017590666189789772,0.012343195267021656,-0.019968321546912193,0.017590666189789772
PMAIP1,-0.01757103204727173,0.006721183657646179,-0.02336917817592621,0.01757103204727173
IRF8,-0.017567645758390427,0.003981099929660559,-0.00867842510342598,0.017567645758390427
RUNX1,-0.01756254956126213,0.0111357057467103,-0.02578701823949814,0.01756254956126213
CD19,-0.017562376335263252,0.019285745918750763,-0.004260198678821325,0.017562376335263252
SELL,-0.017549769952893257,0.01174008660018444,-0.02603769488632679,0.017549769952893257
MGAT5,-0.01754913479089737,0.006976660341024399,-0.028556160628795624,0.01754913479089737
MEF2C,-0.01754610240459442,0.00012155828881077468,-0.030390935018658638,0.01754610240459442
EOMES,-0.017544372007250786,0.01920311711728573,-0.012393341399729252,0.017544372007250786
IL1B,-0.017544323578476906,0.00293595134280622,-0.012048683129251003,0.017544323578476906
REL,-0.01754201203584671,0.00023732702538836747,-0.020309360697865486,0.01754201203584671
IL5RA,-0.017540881410241127,0.02275836654007435,0.017843004316091537,0.017540881410241127
ZEB1,-0.01753721572458744,0.0043206289410591125,-0.024369951337575912,0.01753721572458744
SYK,-0.017536412924528122,0.012341517023742199,-0.01191501785069704,0.017536412924528122
CD44,-0.01752772182226181,0.001962406560778618,-0.03672927990555763,0.01752772182226181
CCR7,-0.017526021227240562,0.011500830762088299,-0.0272460225969553,0.017526021227240562
CTLA4,-0.017525961622595787,0.022077443078160286,-0.001718224142678082,0.017525961622595787
TLR10,-0.01752559468150139,0.020846104249358177,-0.0008232784457504749,0.01752559468150139
TBX21,-0.017523739486932755,0.020602962002158165,-0.008917746134102345,0.017523739486932755
POU2F2,-0.017519010230898857,0.006132775917649269,-0.024211889132857323,0.017519010230898857
NCF2,-0.017516685649752617,0.015649762004613876,-0.010963031090795994,0.017516685649752617
SPIB,-0.017516518011689186,0.017893781885504723,0.005895939189940691,0.017516518011689186
HIF1A,-0.0175150278955698,-0.026349008083343506,-0.004725377541035414,0.0175150278955698
PRKCQ,-0.01751408912241459,0.01793011464178562,-0.011044749058783054,0.01751408912241459
NCAM1,-0.017506234347820282,0.0017373391892760992,-0.02809109166264534,0.017506234347820282
TNFAIP3,-0.017504427582025528,-0.00048592794337309897,-0.024157444015145302,0.017504427582025528
CXCR3,-0.0175030454993248,0.024888869374990463,-0.0027009742334485054,0.0175030454993248
CD69,-0.01750253513455391,0.011917664669454098,-0.022336550056934357,0.01750253513455391
PCBD1,-0.017499107867479324,-0.025463899597525597,-0.007720273453742266,0.017499107867479324
RUNX3,-0.017494605854153633,0.013392859138548374,-0.02446006052196026,0.017494605854153633
BIRC3,-0.01749415136873722,0.0022612574975937605,-0.006765665952116251,0.01749415136873722
IL24,-0.017492536455392838,0.013531257398426533,-0.005543715786188841,0.017492536455392838
MKI67,-0.01749236136674881,-0.0008740590419620275,-0.0032685566693544388,0.01749236136674881
TNFRSF1B,-0.017492111772298813,0.00918074231594801,-0.020825142040848732,0.017492111772298813
NCOA3,-0.01749117113649845,-0.005972924642264843,-0.007775126490741968,0.01749117113649845
CSF3R,-0.017490733414888382,0.007523918524384499,-0.021323157474398613,0.017490733414888382
ITGAX,-0.017490431666374207,0.014448253437876701,-0.008868134580552578,0.017490431666374207
TRERF1,-0.017489885911345482,0.010666313581168652,-0.031294070184230804,0.017489885911345482
LTB,-0.017486101016402245,0.0029181200079619884,-0.010034839622676373,0.017486101016402245
ELF1,-0.017483239993453026,-0.017549142241477966,-0.013399048708379269,0.017483239993453026
BCL2A1,-0.01748022437095642,0.009169582277536392,-0.012833887711167336,0.01748022437095642
FAM162A,-0.017479687929153442,-0.02683047018945217,-0.012463381513953209,0.017479687929153442
BACH2,-0.01747933216392994,0.007578515447676182,-0.021068766713142395,0.01747933216392994
CD86,-0.017477616667747498,0.015482540242373943,-0.005782327149063349,0.017477616667747498
FASLG,-0.01747722178697586,0.02249681018292904,-0.008096187375485897,0.01747722178697586
ITGB2,-0.017476839944720268,0.007611140608787537,-0.02831759676337242,0.017476839944720268
CAT,-0.017469089478254318,-0.027803266420960426,-0.0027465354651212692,0.017469089478254318
PTTG1,-0.017468683421611786,-0.008385526947677135,-0.00489428173750639,0.017468683421611786
ATM,-0.017468154430389404,-0.009788960218429565,-0.020090023055672646,0.017468154430389404
CD40LG,-0.017466582357883453,0.018629949539899826,-0.024738874286413193,0.017466582357883453
SP100,-0.01746632158756256,-0.015440532006323338,-0.006879852619022131,0.01746632158756256
SLA2,-0.017461998388171196,0.015499088913202286,-0.00945004727691412,0.017461998388171196
KDR,-0.0174612607806921,-0.015867743641138077,0.006078155245631933,0.0174612607806921
RUNX2,-0.017455462366342545,0.009452370926737785,-0.010662845335900784,0.017455462366342545
MYBL1,-0.01745404675602913,0.010882578790187836,-0.007502421271055937,0.01745404675602913
FLI1,-0.017453350126743317,0.01181744784116745,-0.02917114458978176,0.017453350126743317
HLA-DPB1,-0.017452459782361984,-0.01796797476708889,0.0001920816139318049,0.017452459782361984
RFX3,-0.017452126368880272,0.0012250863946974277,-0.030216649174690247,0.017452126368880272
JARID2,-0.017450248822569847,-0.0037269629538059235,-0.02721693180501461,0.017450248822569847
TGFBR2,-0.01744355447590351,-0.003196942387148738,-0.00835764966905117,0.01744355447590351
ASAH1,-0.017442677170038223,-0.02986997179687023,-0.011405515484511852,0.017442677170038223
FXYD2,-0.017440974712371826,-0.024655617773532867,0.013878639787435532,0.017440974712371826
FCER2,-0.01743597537279129,0.017824869602918625,-0.0020943107083439827,0.01743597537279129
LEF1,-0.017434699460864067,0.01219440158456564,-0.029446842148900032,0.017434699460864067
MECOM,-0.017432525753974915,0.007928023114800453,-0.015783460810780525,0.017432525753974915
PLAT,-0.017431145533919334,-0.004898328334093094,0.006134750321507454,0.017431145533919334
S100A4,-0.017429925501346588,0.0028340129647403955,-0.03670656681060791,0.017429925501346588
ALOX5,-0.01742955856025219,0.019661637023091316,0.001988072646781802,0.01742955856025219
WFDC2,-0.017429227009415627,-0.03164246678352356,-0.0062447236850857735,0.017429227009415627
JUNB,-0.017428521066904068,-0.0029082123655825853,-0.033662669360637665,0.017428521066904068
HLA-DOB,-0.017427902668714523,0.021935809403657913,0.001565382000990212,0.017427902668714523
CIITA,-0.01742652617394924,0.012979982420802116,0.004977636970579624,0.01742652617394924
IRF4,-0.017420176416635513,0.023527801036834717,-0.00025288647157140076,0.017420176416635513
ZEB2,-0.01741996966302395,-0.010893534868955612,-0.01778387650847435,0.01741996966302395
FLT1,-0.017417414113879204,0.0015474701067432761,-0.0028242606204003096,0.017417414113879204
EPCAM,-0.017414748668670654,-0.02996203303337097,-0.00940846186131239,0.017414748668670654
CEBPD,-0.017411578446626663,-0.032239820808172226,-0.006297105457633734,0.017411578446626663
GATA3,-0.017411043867468834,0.019206881523132324,-0.0181935615837574,0.017411043867468834
NR3C2,-0.017410501837730408,-0.010733034461736679,-0.015079014003276825,0.017410501837730408
TBXAS1,-0.017403442412614822,0.0035342779010534286,-0.004235447384417057,0.017403442412614822
FOSB,-0.0174017995595932,0.009820062667131424,-0.027457334101200104,0.0174017995595932
SDHB,-0.01740138791501522,-0.02569878287613392,-0.013194435276091099,0.01740138791501522
HLA-DRA,-0.017395583912730217,-0.030047226697206497,0.00115965714212507,0.017395583912730217
GADD45A,-0.01739443838596344,-0.03038955293595791,0.010552465915679932,0.01739443838596344
ALOX5AP,-0.017394335940480232,0.008009885437786579,-0.02210201881825924,0.017394335940480232
BLK,-0.01739330030977726,0.022891826927661896,-0.005886572413146496,0.01739330030977726
STIM1,-0.017391055822372437,-0.0011026369174942374,-0.023688102141022682,0.017391055822372437
ETS1,-0.01738864928483963,-0.003102989634498954,-0.009049982763826847,0.01738864928483963
AKR1B1,-0.01738729700446129,-0.024774406105279922,-0.002399710239842534,0.01738729700446129
HOPX,-0.017386311665177345,0.0037587482947856188,-0.037061288952827454,0.017386311665177345
CCR4,-0.017384622246026993,0.02804376929998398,-0.003636711509898305,0.017384622246026993
CTSB,-0.0173844825476408,-0.033497873693704605,-0.012673132121562958,0.0173844825476408
POU2AF1,-0.01738428696990013,0.01776992715895176,-0.007600295823067427,0.01738428696990013
PDHA1,-0.01738247275352478,-0.023534996435046196,-0.004232334904372692,0.01738247275352478
PTGS2,-0.017381995916366577,0.011804798617959023,-0.012666326947510242,0.017381995916366577
BNIP3,-0.01738199219107628,-0.02936815284192562,-0.008355561643838882,0.01738199219107628
RHOC,-0.01737871952354908,-0.030707458034157753,0.00510865543037653,0.01737871952354908
TEK,-0.017378710210323334,5.02703660458792e-05,0.026997191831469536,0.017378710210323334
BIRC5,-0.017370210960507393,-0.026503397151827812,0.021661052480340004,0.017370210960507393
PRDM1,-0.017369920387864113,0.009735935367643833,-0.02035663090646267,0.017369920387864113
MGP,-0.01736569218337536,-0.023299627006053925,-0.016210153698921204,0.01736569218337536
NEAT1,-0.0173654668033123,-0.0018841729033738375,-0.04081664979457855,0.0173654668033123
NFATC2,-0.017364198341965675,0.009876443073153496,-0.025396248325705528,0.017364198341965675
IL10,-0.017363930121064186,0.01996638812124729,0.005098110064864159,0.017363930121064186
NR4A3,-0.017361735925078392,0.011527049355208874,-0.012675131671130657,0.017361735925078392
TLR2,-0.017361043021082878,0.015542091801762581,-0.011906829662621021,0.017361043021082878
CD2,-0.017358293756842613,0.012441755272448063,-0.028458457440137863,0.017358293756842613
HDGF,-0.017356758937239647,-0.02968401089310646,-0.0021211612038314342,0.017356758937239647
HLA-DRB1,-0.017356643453240395,-0.021033920347690582,0.007638042792677879,0.017356643453240395
FOXP3,-0.017351943999528885,0.02368551306426525,0.010137910954654217,0.017351943999528885
OPRM1,-0.017347658053040504,0.019166523590683937,-0.008861230686306953,0.017347658053040504
PRF1,-0.01734589785337448,0.008403610438108444,-0.033215392380952835,0.01734589785337448
LRRFIP1,-0.01734042912721634,-0.02838823013007641,-0.021092407405376434,0.01734042912721634
TCF4,-0.017340198159217834,-0.007840802893042564,-0.019465528428554535,0.017340198159217834
LGALS1,-0.017337769269943237,-0.02741575799882412,-0.009294718503952026,0.017337769269943237
BATF,-0.017335308715701103,0.020249102264642715,-0.018059225752949715,0.017335308715701103
IL2RA,-0.01733354479074478,0.01753229834139347,-0.005729342345148325,0.01733354479074478
TNFSF10,-0.017332930117845535,-0.028302351012825966,0.006830405443906784,0.017332930117845535
MS4A1,-0.017328759655356407,0.012055372819304466,-0.024918222799897194,0.017328759655356407
TSC22D3,-0.01732797920703888,-0.026318799704313278,-0.015300463885068893,0.01732797920703888
CCND1,-0.017325980588793755,-0.03784702345728874,0.009350486099720001,0.017325980588793755
GSTP1,-0.017322005704045296,-0.03417207673192024,-0.019860049709677696,0.017322005704045296
CD28,-0.01732034422457218,0.01853940635919571,-0.024156000465154648,0.01732034422457218
IL2,-0.017312943935394287,0.022483864799141884,-0.0032739012967795134,0.017312943935394287
HIPK2,-0.01731245033442974,-0.026142487302422523,0.006057139951735735,0.01731245033442974
NCL,-0.017309648916125298,-0.031125446781516075,-0.025694159790873528,0.017309648916125298
TXNIP,-0.017307469621300697,-0.03234805539250374,-0.015976697206497192,0.017307469621300697
CD6,-0.017304357141256332,0.014182981103658676,-0.028387751430273056,0.017304357141256332
NR4A2,-0.017301857471466064,0.005565520375967026,-0.033913444727659225,0.017301857471466064
NFIB,-0.017301635816693306,-0.040007542818784714,0.001894801971502602,0.017301635816693306
CXCR4,-0.01729956455528736,0.0030202576890587807,-0.04030907526612282,0.01729956455528736
IL2RB,-0.017298471182584763,0.018840592354536057,-0.01397803332656622,0.017298471182584763
BCL2,-0.01729690656065941,-0.021941663697361946,0.0058320509269833565,0.01729690656065941
STAT4,-0.0172942616045475,0.011189182288944721,-0.03488801047205925,0.0172942616045475
ASS1,-0.017286527901887894,-0.031989533454179764,0.01991717703640461,0.017286527901887894
CLU,-0.017278341576457024,-0.036785464733839035,0.006105776410549879,0.017278341576457024
ZFP36,-0.017275098711252213,-0.022784581407904625,-0.011124239303171635,0.017275098711252213
MIF,-0.01727161556482315,-0.03311334177851677,-0.02273227833211422,0.01727161556482315
MAFA,-0.017266979441046715,0.021768389269709587,0.012520082294940948,0.017266979441046715
TXN,-0.017266349866986275,-0.03394319489598274,-0.024659564718604088,0.017266349866986275
DUSP1,-0.017265615984797478,-0.014427456073462963,-0.03048081137239933,0.017265615984797478
HLA-DMB,-0.01726110838353634,0.014395859092473984,0.005801105406135321,0.01726110838353634
CD34,-0.017260843887925148,-0.020120583474636078,-0.0009490074589848518,0.017260843887925148
APP,-0.017260121181607246,-0.03399249538779259,-0.002518793335184455,0.017260121181607246
SPP1,-0.017254769802093506,-0.03649400174617767,-0.002455784473568201,0.017254769802093506
PAX5,-0.0172523595392704,0.01910262368619442,0.012172682210803032,0.0172523595392704
CCL3,-0.017249910160899162,0.014130258932709694,-0.013093503192067146,0.017249910160899162
VIM,-0.017247650772333145,-0.03613577038049698,-0.009535551071166992,0.017247650772333145
LCK,-0.01724478043615818,0.010505911894142628,-0.03258632495999336,0.01724478043615818
HLA-B,-0.017242711037397385,-0.030556710436940193,-0.022978616878390312,0.017242711037397385
FOS,-0.017241908237338066,-0.0013448831159621477,-0.038168586790561676,0.017241908237338066
HLA-A,-0.01724029891192913,-0.03343028575181961,-0.022382430732250214,0.01724029891192913
CCL20,-0.017234154045581818,-0.034454893320798874,-0.0017351934220641851,0.017234154045581818
HLA-C,-0.017233956605196,-0.031054271385073662,-0.02473328821361065,0.017233956605196
EGR1,-0.017233075574040413,0.0006736648501828313,-0.022410806268453598,0.017233075574040413
CR1,-0.017227983102202415,0.020091945305466652,0.0005875567439943552,0.017227983102202415
CD3G,-0.01722792536020279,0.009140046313405037,-0.0354609340429306,0.01722792536020279
KLF6,-0.017225105315446854,-0.034199099987745285,-0.0140315480530262,0.017225105315446854
MSR1,-0.017220012843608856,0.008999896235764027,0.00847549643367529,0.017220012843608856
RHOB,-0.017217371612787247,-0.03867945820093155,-0.005634812638163567,0.017217371612787247
RORA,-0.017214978113770485,-0.03215954452753067,-0.004270079080015421,0.017214978113770485
ID2,-0.017208809033036232,-0.03496644273400307,-0.009369886480271816,0.017208809033036232
CCL5,-0.017186058685183525,0.00900395680218935,-0.02970164641737938,0.017186058685183525
VCAN,-0.017179064452648163,-0.016046462580561638,0.008842273615300655,0.017179064452648163
MMP7,-0.01717558689415455,-0.03313133865594864,0.005771548021584749,0.01717558689415455
HDAC9,-0.01716769114136696,-0.00025832722894847393,-0.023972952738404274,0.01716769114136696
ALDH1A1,-0.017157873138785362,-0.03742057830095291,0.006021684501320124,0.017157873138785362
LDHA,-0.01714862324297428,-0.03825609013438225,-0.027030417695641518,0.01714862324297428
PLAUR,-0.01713378354907036,0.0016357082640752196,-0.022999869659543037,0.01713378354907036
JUN,-0.017132122069597244,-0.030445042997598648,-0.020687567070126534,0.017132122069597244
DAPK2,-0.017119834199547768,0.018185578286647797,-0.007537039928138256,0.017119834199547768
EGR3,-0.01711936853826046,0.023344481363892555,-0.0053522237576544285,0.01711936853826046
ATP1B1,-0.017110738903284073,-0.043465010821819305,-0.020589554682374,0.017110738903284073
CD8A,-0.01710958406329155,0.004809536039829254,-0.03455845266580582,0.01710958406329155
CA2,-0.017092810943722725,-0.033323001116514206,0.02215108834207058,0.017092810943722725
PBK,-0.01704370602965355,-0.0166810043156147,0.028072236105799675,0.01704370602965355
ITGB8,-0.017033221200108528,-0.03578099235892296,0.022984210401773453,0.017033221200108528
HPGD,-0.016924915835261345,-0.027502788230776787,0.03926977142691612,0.016924915835261345
TNF,-0.016908925026655197,0.011499722488224506,-0.01484279241412878,0.016908925026655197
IFNG,-0.01689794287085533,0.014939604327082634,-0.016357146203517914,0.01689794287085533
KLRK1,-0.016897473484277725,0.009579631499946117,-0.016264790669083595,0.016897473484277725
GCSAM,-0.01687575690448284,0.020502783358097076,-0.01623251847922802,0.01687575690448284
CD8B,-0.01664338819682598,0.006519194692373276,-0.03765597939491272,0.01664338819682598
TNFSF14,-0.016541805118322372,0.016824547201395035,-0.017588535323739052,0.016541805118322372
COL1A1,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
MMP9,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
CXCL8,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
IL6,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
SOX18,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
IGFBP1,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
IGFBP3,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
NPPA,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
KLK1,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
MUC1,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
GBX2,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
IL12A,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
DCN,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
IL12B,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
KLF14,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
INS,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
CCR6,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
POU1F1,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
TSHB,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
TNFRSF17,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
TLX1,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
SERPINB2,0.012040810659527779,-1.6645286450511776e-05,-3.802087303483859e-05,0.012040810659527779
