layer,er,twonn,er_first_diff,er_second_diff
0,7.891773700714111,10.333169244785216,,
1,5.404919147491455,9.889414567742662,-2.4868545532226562,
2,4.4356889724731445,9.921279934886021,-0.9692301750183105,1.5176243782043457
3,4.0782928466796875,10.022658202083171,-0.35739612579345703,0.6118340492248535
4,3.3007264137268066,8.857045966396184,-0.7775664329528809,-0.42017030715942383
5,3.020176649093628,8.795161931500619,-0.2805497646331787,0.49701666831970215
6,2.772695541381836,9.608211989704403,-0.247481107711792,0.03306865692138672
7,2.513336181640625,9.331429356166039,-0.25935935974121094,-0.011878252029418945
8,2.2650556564331055,9.336383254722469,-0.24828052520751953,0.011078834533691406
9,1.8137385845184326,9.203357396311317,-0.45131707191467285,-0.20303654670715332
10,1.4204779863357544,9.148861444103659,-0.3932605981826782,0.05805647373199463
11,1.2788589000701904,8.515930921481313,-0.14161908626556396,0.25164151191711426
