term,a,b,c,d,odds_ratio,p_value
GO:0005615,21,5,31,47,6.367741935483871,0.0002574644601557992
GO:0005576,21,6,31,46,5.193548387096774,0.000724110423753449
GO:0005788,9,0,43,52,inf,0.0013390764559390576
GO:0042531,6,1,46,51,6.6521739130434785,0.0561318267749105
GO:0030198,4,0,48,52,inf,0.05887724694799576
GO:0005796,4,0,48,52,inf,0.05887724694799576
GO:0032731,4,0,48,52,inf,0.05887724694799576
GO:1904707,4,0,48,52,inf,0.05887724694799576
GO:0048661,4,0,48,52,inf,0.05887724694799576
GO:0062023,5,1,47,51,5.425531914893617,0.10248209286948111
GO:0009615,5,1,47,51,5.425531914893617,0.10248209286948111
GO:0001819,3,0,49,52,inf,0.12135922330097089
GO:0008083,3,0,49,52,inf,0.12135922330097089
GO:0043410,3,0,49,52,inf,0.12135922330097089
GO:0007179,3,0,49,52,inf,0.12135922330097089
GO:0042802,12,7,40,45,1.9285714285714286,0.15508705714206353
GO:0010629,7,3,45,49,2.5407407407407407,0.15944364139673217
GO:0050796,4,1,48,51,4.25,0.18134192059982693
GO:0001934,4,1,48,51,4.25,0.18134192059982693
GO:0032722,4,1,48,51,4.25,0.18134192059982693
GO:0071356,4,1,48,51,4.25,0.18134192059982693
GO:0014068,4,1,48,51,4.25,0.18134192059982693
GO:0042110,4,1,48,51,4.25,0.18134192059982693
GO:0044344,4,1,48,51,4.25,0.18134192059982693
GO:0006935,4,1,48,51,4.25,0.18134192059982693
GO:0050830,4,1,48,51,4.25,0.18134192059982693
GO:0048662,4,1,48,51,4.25,0.18134192059982693
GO:0008270,5,2,47,50,2.6595744680851063,0.2183577581059077
GO:0007186,5,2,47,50,2.6595744680851063,0.2183577581059077
GO:0045892,6,3,46,49,2.130434782608696,0.24390880685506236
GO:0005856,2,0,50,52,inf,0.24757281553398056
GO:0030307,2,0,50,52,inf,0.24757281553398056
GO:0007565,2,0,50,52,inf,0.24757281553398056
GO:0051384,2,0,50,52,inf,0.24757281553398056
GO:0007275,2,0,50,52,inf,0.24757281553398056
GO:0030101,2,0,50,52,inf,0.24757281553398056
GO:0006508,2,0,50,52,inf,0.24757281553398056
GO:0002548,2,0,50,52,inf,0.24757281553398056
GO:0008134,2,0,50,52,inf,0.24757281553398056
GO:0001916,2,0,50,52,inf,0.24757281553398056
GO:0043388,2,0,50,52,inf,0.24757281553398056
GO:0001570,2,0,50,52,inf,0.24757281553398056
GO:0010628,8,5,44,47,1.709090909090909,0.2773544947365672
GO:0043065,8,5,44,47,1.709090909090909,0.2773544947365672
GO:0050790,3,1,49,51,3.122448979591837,0.3088051523598961
GO:0042060,3,1,49,51,3.122448979591837,0.3088051523598961
GO:0001774,3,1,49,51,3.122448979591837,0.3088051523598961
GO:0042995,3,1,49,51,3.122448979591837,0.3088051523598961
GO:0050852,3,1,49,51,3.122448979591837,0.3088051523598961
GO:0070098,3,1,49,51,3.122448979591837,0.3088051523598961
