term,a,b,c,d,odds_ratio,p_value
GO:0000981,35,16,69,88,2.789855072463768,0.001734792504917309
GO:0006357,37,19,67,85,2.4705420267085625,0.003778228536879078
GO:0050853,9,1,95,103,9.757894736842106,0.009299952760639326
GO:0000785,31,16,73,88,2.335616438356164,0.009837695019803323
GO:0000978,35,20,69,84,2.130434782608696,0.013607278808379426
GO:0004888,6,0,98,104,inf,0.014509295874710726
GO:0031663,6,0,98,104,inf,0.014509295874710726
GO:0003677,22,10,82,94,2.521951219512195,0.01666335209117128
GO:0045944,40,25,64,79,1.975,0.017908022427129435
GO:0005654,42,28,62,76,1.8387096774193548,0.028029665156282857
GO:0045893,27,15,77,89,2.0805194805194804,0.028299660388952617
GO:0008630,5,0,99,104,inf,0.029751384470366442
GO:0006366,5,0,99,104,inf,0.029751384470366442
GO:0006974,7,1,97,103,7.43298969072165,0.032534242525624694
GO:0005524,13,5,91,99,2.8285714285714287,0.040952922390668715
GO:0045892,14,6,90,98,2.5407407407407407,0.04885877027676156
GO:0001228,23,13,81,91,1.9876543209876543,0.049059876725857765
GO:0006954,19,10,85,94,2.101176470588235,0.054059948055899504
GO:0048661,6,1,98,103,6.3061224489795915,0.059330091052034954
GO:1990837,23,14,81,90,1.8253968253968254,0.07312368024343009
GO:0051897,7,2,97,102,3.6804123711340204,0.08505410563738883
GO:0003700,20,12,84,92,1.8253968253968254,0.08896104900756036
GO:0009897,21,13,83,91,1.7710843373493976,0.09440655757919897
GO:0005829,43,33,61,71,1.516641828117238,0.09742442376162028
GO:0046777,5,1,99,103,5.202020202020202,0.10596182744864502
GO:0007507,5,1,99,103,5.202020202020202,0.10596182744864502
GO:0009636,5,1,99,103,5.202020202020202,0.10596182744864502
GO:0030097,5,1,99,103,5.202020202020202,0.10596182744864502
GO:0032743,5,1,99,103,5.202020202020202,0.10596182744864502
GO:0032757,5,1,99,103,5.202020202020202,0.10596182744864502
GO:0031295,5,1,99,103,5.202020202020202,0.10596182744864502
GO:0004712,8,3,96,101,2.8055555555555554,0.10696280269477941
GO:0005667,8,3,96,101,2.8055555555555554,0.10696280269477941
GO:0000122,25,17,79,87,1.6195085629188384,0.11319249266826958
GO:0042802,28,20,76,84,1.5473684210526315,0.12459051074335933
GO:0045121,9,4,95,100,2.3684210526315788,0.12566488833202602
GO:0043235,9,4,95,100,2.3684210526315788,0.12566488833202602
GO:0038023,9,4,95,100,2.3684210526315788,0.12566488833202602
GO:1901224,6,2,98,102,3.122448979591837,0.13971763663126568
GO:0004674,6,2,98,102,3.122448979591837,0.13971763663126568
GO:0007169,6,2,98,102,3.122448979591837,0.13971763663126568
GO:0018108,6,2,98,102,3.122448979591837,0.13971763663126568
GO:0032733,6,2,98,102,3.122448979591837,0.13971763663126568
GO:0032753,6,2,98,102,3.122448979591837,0.13971763663126568
GO:0032735,6,2,98,102,3.122448979591837,0.13971763663126568
GO:0000976,10,5,94,99,2.106382978723404,0.14175991496739748
GO:0005925,7,3,97,101,2.429553264604811,0.16581329213085522
GO:0042110,7,3,97,101,2.429553264604811,0.16581329213085522
GO:0009791,4,1,100,103,4.12,0.18445858371627194
GO:0007420,4,1,100,103,4.12,0.18445858371627194
