layer_from,layer_to,swd,energy_dist,centroid_dist,cov_frob_dist
0,1,0.55169314207119,7.902650833129883,11.785014152526855,6.349781036376953
1,2,0.4309058642435648,4.838249206542969,8.613505363464355,4.117377281188965
2,3,0.3695945294269004,3.9937171936035156,7.608750343322754,4.669541358947754
3,4,0.3695650102610589,3.929429054260254,7.450283527374268,6.147619247436523
4,5,0.37630010339394204,4.533258438110352,7.8142852783203125,5.4198737144470215
5,6,0.40337152607184895,4.957688331604004,8.067256927490234,5.962457180023193
6,7,0.3707645630850616,5.446032524108887,8.393210411071777,6.6088080406188965
7,8,0.3858509757571574,5.993694305419922,8.836374282836914,7.436373710632324
8,9,0.47937500667477395,7.733606338500977,9.831761360168457,7.873335361480713
9,10,0.39989347128995456,8.759145736694336,9.80369758605957,6.336101055145264
10,11,0.2905209349513929,4.415387153625488,5.799815654754639,4.088977336883545
