layer,spearman_sv1_vs_norm_L0,p_sv1_vs_norm_L0,spearman_sv1_vs_norm_L5,p_sv1_vs_norm_L5,spearman_sv1_vs_norm_same,p_sv1_vs_norm_same
0,-0.32577266076662603,1.2785384410336379e-51,-0.12204246694035904,3.236088365292784e-08,-0.32577266076662603,1.2785384410336379e-51
1,-0.3584534856519088,7.235970784791531e-63,-0.12101025143556698,4.2279806200670804e-08,-0.32840160439603344,1.7840425628365295e-52
2,-0.2436396076354216,6.151575215117036e-29,-0.01359574217495547,0.5394984963928167,-0.1707475481229622,8.327393269882584e-15
3,-0.10798165790887972,1.0225498506268168e-06,0.11291814207802839,3.1862818289820015e-07,0.03995888342755125,0.07123618562776937
4,-0.26196953410186574,2.389104918613019e-33,0.001203741583096614,0.9566786335921353,-0.026539683374551048,0.2309625157320063
5,-0.279711998454917,5.781880453617287e-38,-0.015879529065205195,0.47358997368897304,-0.015879529065205195,0.47358997368897304
6,-0.2769184646544844,3.2503729565309036e-37,-0.015815600047363938,0.47537270763302475,0.009680682068991702,0.6622011615792739
7,-0.32529014365342485,1.8313850764903325e-51,-0.07017299940495259,0.001520993697325074,-0.006048727794761479,0.7848785438889608
8,-0.33929425990346745,4.136525330139984e-56,-0.08995338692490332,4.74940185164196e-05,0.06980044197831836,0.001611742562728731
9,-0.3136762144917416,8.593851827023899e-48,-0.077204912501277,0.00048432163490347865,0.19094083888488403,3.412764809387882e-18
10,-0.2134085084828644,1.975133242591958e-22,-0.07757515765264342,0.00045478450066312783,0.2068299545625124,3.874812129371275e-21
11,0.14803144604563545,1.8506819014293427e-11,0.2092020404878679,1.3401179960110439e-21,0.2687898158137918,4.4125648893510265e-35
