layer,trrust_resid_mean,neg_resid_mean,rbc_residual,pval_residual,rbc_original,pval_original,coexpr_regression_beta
0,0.0037509151734411716,-0.0014506200095638633,-0.17027089996399303,0.9999999993862719,-0.06804883133213746,0.9924202411315348,-0.10535687208175659
1,0.0027906547766178846,-0.0010792426764965057,-0.12872792618446982,0.9999978262967668,-0.03580079973513084,0.8993202273854712,-0.1284978836774826
2,0.0011266315123066306,-0.0004357083817012608,-0.060067086785865254,0.9839713562364473,0.04032676102812893,0.075056945199009,-0.16882532835006714
3,0.0006834880914539099,-0.0002643306797835976,-0.051376349288275946,0.9666390842963672,0.06630087386725558,0.008988646474076146,-0.21441619098186493
4,0.0006389664486050606,-0.0002471243788022548,-0.05065620864904519,0.9646845330112783,0.054627015083936525,0.025619518487566686,-0.22953465580940247
5,-0.0007177517400123179,0.00027759390650317073,0.01512629773021923,0.29467338258861886,0.11260168084838362,2.929055981267666e-05,-0.2441301792860031
6,-0.001140714273788035,0.0004411395057104528,0.031288215667629404,0.13209029547220547,0.1272430541543531,2.799782232383632e-06,-0.2663264870643616
7,-0.0005131562938913703,0.0001984581904252991,-0.0017055962508096822,0.5242839917955769,0.10176835773376425,0.00014070478584437852,-0.28046613931655884
8,-0.0018985647475346923,0.0007342377793975174,0.0828351245809863,0.0015575037529057885,0.1562002882792094,1.2420060758818482e-08,-0.3013189435005188
9,-0.0004930234863422811,0.00019068780238740146,-0.006667432141236773,0.5940536585294891,0.04988032957024546,0.037531914719168454,-0.42597997188568115
10,0.0004417163727339357,-0.00017079999088309705,-0.07402622159151084,0.9958774530581922,0.023636442683605208,0.19947713325149524,-0.7554067373275757
11,-0.0006373390788212419,0.0002465315046720207,0.0008037482985840949,0.48857420416802333,0.07388576072379704,0.004184945950130255,-0.7656623125076294
