layer,mean_norm_sv1L0_high,mean_norm_sv1L11_high,mean_norm_all
0,21.01323699951172,21.018310546875,21.17193031311035
1,20.581409454345703,20.531455993652344,20.693204879760742
2,20.806488037109375,20.753808975219727,20.830242156982422
3,21.192705154418945,21.109848022460938,21.175106048583984
4,21.45698356628418,21.367416381835938,21.417993545532227
5,21.480972290039062,21.37007713317871,21.39999008178711
6,21.85223960876465,21.73004722595215,21.75539779663086
7,22.242124557495117,22.119428634643555,22.14707374572754
8,22.902090072631836,22.81184959411621,22.81244659423828
9,23.596328735351562,23.618589401245117,23.564197540283203
10,24.527793884277344,24.755002975463867,24.488845825195312
11,22.148473739624023,22.036256790161133,22.100627899169922
