layer,spearman_rho,spearman_p,rbc_circuit_vs_noncircuit,mw_p_circuit_vs_noncircuit,n_circuit,n_noncircuit
0,-0.08633165581189413,9.491772535212877e-05,0.1430531799098118,8.326994816353042e-05,295,1744
1,-0.06032502415917011,0.006433945151976647,0.10243741253304306,0.004838325073571058,295,1744
2,0.0187983258859048,0.3962162184662802,-0.027845591665370817,0.44375274710343904,295,1744
3,0.017469801302057233,0.43044503778254306,-0.02582413310527132,0.4775373457694737,295,1744
4,0.01795527645001012,0.41774260232526683,-0.024634582491058987,0.4980576704330332,295,1744
5,0.015750316407856374,0.4771970069995045,-0.020012439744985233,0.5820370349073232,295,1744
6,0.00773505310755529,0.7270370694966917,-0.007409423106826241,0.838547904258807,295,1744
7,0.0026734580499272547,0.9039706760951624,0.00036153008863315517,0.9921083829176708,295,1744
8,-0.004782289911144443,0.8291323542429714,0.011362929559944002,0.7546628653762772,295,1744
9,-0.0031713978375782635,0.8861970484199189,0.007316125019437125,0.8405539502768764,295,1744
10,0.031082449361907332,0.16061229291572043,-0.047271030943865755,0.19353566571567526,295,1744
11,-0.026764740992358267,0.22703000726633552,0.044806406468667404,0.21780036158913907,295,1744
