layer,sv_group,displacement_mag,mean_cohens_d_abs,min_pval,d_sv0,d_sv1,d_sv2,p_sv0,p_sv1,p_sv2
0,SV2-4,2.034923791885376,0.3478783369064331,9.347800746649086e-43,0.6138209104537964,0.21968786418437958,-0.21012623608112335,9.347800746649086e-43,1.4228718073516793e-07,4.698836716220283e-07
0,SV5-7,0.416157066822052,0.12206103652715683,0.0007691137279531664,0.12047084420919418,-0.1394454538822174,0.1062668040394783,0.0036199574744090537,0.0007691137279531664,0.01021364210860727
1,SV2-4,1.904598593711853,0.39265260100364685,1.4289576853190958e-48,0.6638268232345581,0.34435349702835083,-0.16977745294570923,1.4289576853190958e-48,4.90183811085329e-16,4.389893454371416e-05
1,SV5-7,0.4439923167228699,0.131874680519104,8.012771528514802e-08,-0.08493582159280777,0.22416026890277863,-0.08652793616056442,0.0398779581099365,8.012771528514802e-08,0.03631438487725148
2,SV2-4,1.9891932010650635,0.451509565114975,2.6031187038415253e-47,-0.6531220078468323,-0.46708643436431885,0.23432014882564545,2.6031187038415253e-47,4.8878064454635016e-27,2.0966286810007922e-08
2,SV5-7,0.5448648929595947,0.12589481472969055,4.777402691634306e-15,0.02535518817603588,0.3317713439464569,0.020557913929224014,0.5389044122578928,4.777402691634306e-15,0.6183160365309184
3,SV2-4,1.8147131204605103,0.4235706031322479,1.2028258531735812e-39,-0.5863479971885681,-0.4281228482723236,0.25624096393585205,1.2028258531735812e-39,2.6877791377361077e-23,9.81386045387403e-10
3,SV5-7,0.8077282309532166,0.21924330294132233,8.633526134540277e-22,-0.19525288045406342,-0.41174769401550293,-0.050729308277368546,2.7531385837832232e-06,8.633526134540277e-22,0.21914396356892593
4,SV2-4,1.6495387554168701,0.4117099344730377,7.522607721618925e-43,0.6146456003189087,0.3714364171028137,-0.24904783070087433,7.522607721618925e-43,2.9387744548048944e-18,2.7485717032424817e-09
4,SV5-7,0.8580740094184875,0.27207207679748535,5.89963868249529e-20,0.23848912119865417,0.3911784887313843,0.1865486204624176,1.1921130629508136e-08,5.89963868249529e-20,7.358987076430606e-06
5,SV2-4,1.5158907175064087,0.3558504581451416,4.298681837430858e-43,0.6167678833007812,-0.16880299150943756,-0.28198057413101196,4.298681837430858e-43,4.848463564361671e-05,2.0213895685385467e-11
5,SV5-7,0.9171358942985535,0.2599610388278961,7.918903582890978e-18,-0.36630675196647644,-0.33618128299713135,0.07739508897066116,7.918903582890978e-18,2.16685802319603e-15,0.06104992848525444
6,SV2-4,1.4774855375289917,0.3675915002822876,7.614316957122247e-42,-0.6058322191238403,0.1705687791109085,0.32637351751327515,7.614316957122247e-42,4.0481680256251496e-05,1.2436246769439599e-14
6,SV5-7,0.9598784446716309,0.20433706045150757,1.1175036543863075e-20,0.0015019215643405914,-0.21214070916175842,-0.399368554353714,0.9709600990606733,3.6670256475186245e-07,1.1175036543863075e-20
7,SV2-4,1.5661180019378662,0.4342760741710663,1.0489112017231693e-37,0.5688899159431458,-0.3816586136817932,-0.3522796630859375,1.0489112017231693e-37,3.9559188749531783e-19,1.1299948559081026e-16
7,SV5-7,0.9679248332977295,0.2234172224998474,2.241164118925859e-22,0.09992033243179321,0.1521664261817932,-0.4181649088859558,0.015696477804033885,0.00024523283085355936,2.241164118925859e-22
8,SV2-4,1.3020153045654297,0.38622334599494934,4.1010535466475024e-35,0.545138955116272,-0.3359646797180176,0.27756643295288086,4.1010535466475024e-35,2.253088917013207e-15,4.0198162345512986e-11
8,SV5-7,1.2215347290039062,0.34345486760139465,8.488057143713463e-23,-0.4227433502674103,-0.21808497607707977,-0.3895363211631775,8.488057143713463e-23,1.7438378537682174e-07,8.211594681466365e-20
9,SV2-4,0.9828227162361145,0.30448710918426514,2.094822925413339e-22,-0.4184844493865967,-0.3627939820289612,-0.13218292593955994,2.094822925413339e-22,1.5520744543284007e-17,0.0014225243076011187
9,SV5-7,1.2946569919586182,0.41357651352882385,2.461500713244452e-33,-0.5285245776176453,-0.30915990471839905,0.403045117855072,2.461500713244452e-33,2.4208673546472025e-13,5.253526205415089e-21
10,SV2-4,0.9370254278182983,0.34431585669517517,6.309916322298164e-23,-0.3135427236557007,-0.29526984691619873,0.4241349697113037,1.1505957563054621e-13,2.4199099991392555e-12,6.309916322298164e-23
10,SV5-7,0.897116482257843,0.3442806005477905,1.2156926390085992e-28,-0.09270332008600235,0.4569631814956665,0.4831753075122833,0.024950009277500663,4.7981939915735477e-26,1.2156926390085992e-28
11,SV2-4,0.6347686648368835,0.2847924530506134,7.398019621097071e-29,0.23194539546966553,0.13711853325366974,0.4853135049343109,2.8811573143947485e-08,0.0009394073750346375,7.398019621097071e-29
11,SV5-7,0.613137423992157,0.3100900948047638,1.9874995642616623e-31,-0.020281679928302765,-0.5103799700737,-0.39960870146751404,0.6230410428211877,1.9874995642616623e-31,1.0639094682048193e-20
