layer,auroc_joint,auroc_sv57,auroc_sv24,null_mean,p_perm,n_tf,n_tgt
0,0.7705050505050506,0.715122655122655,0.634098124098124,0.5064121212121212,0.0,73,222
1,0.7652236652236653,0.6912409812409812,0.6882106782106783,0.5050252525252525,0.0,73,222
2,0.7815295815295815,0.7230303030303029,0.7002453102453103,0.5053883116883118,0.0,73,222
3,0.7894805194805194,0.7162193362193362,0.7032034632034632,0.5040279942279942,0.0,73,222
4,0.7603030303030303,0.6676911976911977,0.7207215007215007,0.5029222222222223,0.0,73,222
5,0.7574747474747474,0.6108225108225108,0.7253679653679653,0.5057152958152958,0.0,73,222
6,0.73007215007215,0.5711399711399711,0.7232900432900433,0.5022917748917749,0.0,73,222
7,0.7384992784992784,0.5843434343434344,0.7211255411255412,0.5037708513708514,0.0,73,222
8,0.7268975468975469,0.5318181818181819,0.7316883116883117,0.506453823953824,0.0,73,222
9,0.714862914862915,0.6632900432900433,0.6552525252525252,0.506326406926407,0.0,73,222
10,0.7020634920634921,0.6838095238095236,0.6516305916305917,0.5028536796536797,0.0,73,222
11,0.6875180375180375,0.6861616161616162,0.6551659451659452,0.4998603174603174,0.0,73,222
