layer_transition,sv57_principal_angle,sv24_principal_angle,sv57_auroc_at_next_layer
L0->L1,28.528389,21.525587,0.6954401154401154
L1->L2,29.249075,29.315666,0.7189033189033189
L2->L3,69.70532,31.350298,0.727979797979798
L3->L4,52.27991,34.683815,0.6782683982683982
L4->L5,40.151424,41.998577,0.6216305916305915
L5->L6,37.656425,32.83047,0.586118326118326
L6->L7,35.120445,36.59738,0.6025396825396826
L7->L8,46.30339,48.124893,0.5434343434343434
L8->L9,42.6062,47.975266,0.6702453102453102
L9->L10,31.91288,38.071968,0.6788167388167388
L10->L11,29.574926,39.527588,0.6803896103896104
