layer,subspace,pa1_main_s43,pa2_main_s43,pa3_main_s43,pa1_main_s44,pa2_main_s44,pa3_main_s44,max_pa_s43,max_pa_s44,mean_pa_s43,mean_pa_s44
0,sv24,8.38286,15.4211,25.019133,6.596179485321045,9.983453750610352,11.747808456420898,25.019133,11.747808456420898,16.274363,9.44248104095459
0,sv57,7.8058734,12.046127,20.968714,7.18048095703125,9.314411163330078,21.174266815185547,20.968714,21.174266815185547,13.606906,12.55638599395752
0,main_sv24_vs_s43_sv57,80.16238,89.09291,89.31114,,,,89.31114,,86.188805,
1,sv24,12.624638,13.922657,18.676043,7.535826683044434,9.479068756103516,19.062746047973633,18.676043,19.062746047973633,15.074445,12.02588176727295
1,sv57,7.919214,17.329227,22.910322,11.523843765258789,16.0299072265625,22.78284454345703,22.910322,22.78284454345703,16.052921,16.77886390686035
1,main_sv24_vs_s43_sv57,80.86721,85.46303,88.18257,,,,88.18257,,84.8376,
2,sv24,5.6015415,14.420596,40.53478,4.5133185386657715,8.529839515686035,21.554710388183594,40.53478,21.554710388183594,20.185638,11.532623291015625
2,sv57,15.941541,35.253624,53.33273,14.037288665771484,18.74041748046875,57.14241409301758,53.33273,57.14241409301758,34.842632,29.973373413085938
2,main_sv24_vs_s43_sv57,54.45974,83.2063,88.27891,,,,88.27891,,75.31498,
3,sv24,7.185097,13.944824,55.350235,5.442368984222412,7.894486904144287,34.84569549560547,55.350235,34.84569549560547,25.493385,16.060850143432617
3,sv57,14.829715,19.29959,58.549854,15.155731201171875,16.6103458404541,33.54050827026367,58.549854,33.54050827026367,30.893051,21.768861770629883
3,main_sv24_vs_s43_sv57,43.080658,84.697495,87.48822,,,,87.48822,,71.755455,
4,sv24,5.4259253,12.296114,39.841084,4.709522724151611,9.236928939819336,28.628644943237305,39.841084,28.628644943237305,19.187708,14.191699028015137
4,sv57,12.145769,20.101929,54.275394,9.976576805114746,19.67378044128418,32.32933044433594,54.275394,32.32933044433594,28.841028,20.659894943237305
4,main_sv24_vs_s43_sv57,57.2013,84.55874,87.87898,,,,87.87898,,76.54634,
5,sv24,6.8149757,14.69273,39.720848,5.226522445678711,8.935469627380371,25.020689010620117,39.720848,25.020689010620117,20.409517,13.060894012451172
5,sv57,12.619527,24.645357,61.215,9.039571762084961,23.317625045776367,27.016782760620117,61.215,27.016782760620117,32.82663,19.79132652282715
5,main_sv24_vs_s43_sv57,61.219475,79.66944,87.63299,,,,87.63299,,76.17397,
6,sv24,7.6558604,20.301125,43.51356,5.7159743309021,9.61623477935791,26.01107406616211,43.51356,26.01107406616211,23.823517,13.781094551086426
6,sv57,14.643153,21.47289,53.414284,9.689291954040527,19.259033203125,27.255178451538086,53.414284,27.255178451538086,29.843443,18.7345027923584
6,main_sv24_vs_s43_sv57,56.76325,74.03977,86.94925,,,,86.94925,,72.58409,
7,sv24,9.633086,18.052889,36.802322,5.5218706130981445,9.584843635559082,22.170494079589844,36.802322,22.170494079589844,21.4961,12.425735473632812
7,sv57,14.617125,22.64811,45.33097,10.282102584838867,17.51369285583496,22.07295036315918,45.33097,22.07295036315918,27.532068,16.622915267944336
7,main_sv24_vs_s43_sv57,59.776726,77.254875,89.372375,,,,89.372375,,75.467995,
8,sv24,11.78793,18.059015,57.017868,7.967526435852051,14.299007415771484,53.6546630859375,57.017868,53.6546630859375,28.954939,25.307065963745117
8,sv57,14.544305,20.493841,65.08085,10.087109565734863,17.380369186401367,53.97266387939453,65.08085,53.97266387939453,33.372997,27.146713256835938
8,main_sv24_vs_s43_sv57,43.423256,80.05329,86.42143,,,,86.42143,,69.965996,
9,sv24,12.389909,23.264162,81.281654,8.756227493286133,13.405981063842773,18.793502807617188,81.281654,18.793502807617188,38.978577,13.651904106140137
9,sv57,13.542915,24.162258,83.97208,8.590365409851074,15.325632095336914,19.93140983581543,83.97208,19.93140983581543,40.559082,14.615801811218262
9,main_sv24_vs_s43_sv57,22.963488,79.28985,85.481575,,,,85.481575,,62.578304,
10,sv24,13.76048,31.54454,63.98764,7.603877544403076,12.774036407470703,19.69910430908203,63.98764,19.69910430908203,36.43089,13.35900592803955
10,sv57,11.92195,21.778547,59.45054,9.900017738342285,13.794536590576172,19.472551345825195,59.45054,19.472551345825195,31.050344,14.38903522491455
10,main_sv24_vs_s43_sv57,34.763454,82.71928,86.38366,,,,86.38366,,67.95547,
11,sv24,5.6054935,18.854753,36.244354,4.197406768798828,10.163375854492188,18.695871353149414,36.244354,18.695871353149414,20.234867,11.018885612487793
11,sv57,10.788701,26.57026,49.90771,13.6641845703125,18.169099807739258,35.0987663269043,49.90771,35.0987663269043,29.08889,22.310684204101562
11,main_sv24_vs_s43_sv57,59.96786,85.9407,89.709305,,,,89.709305,,78.53928,
