layer,sv1_frac,sv24_frac,sv57_frac,sv_joint_frac,sv1_abs,sv24_sum,sv57_sum,auroc_joint,auroc_sv57
0,0.05599994,0.10989198,0.051497746,0.16138974,132.05254,317.13892,218.71327,0.7711111111111112,0.7154401154401154
1,0.05297901,0.10845376,0.057208035,0.1656618,110.064224,270.51944,197.42142,0.7658441558441558,0.6912409812409812
2,0.054976486,0.11241845,0.06339643,0.17581488,106.03287,260.67462,196.36015,0.7812121212121212,0.7230303030303029
3,0.06548811,0.12269577,0.07441355,0.19710933,114.20866,269.2296,210.26588,0.7891630591630592,0.7165223665223664
4,0.08290525,0.13647176,0.0805094,0.21698116,121.18537,268.0153,206.62645,0.7603030303030303,0.6673593073593074
5,0.09316722,0.14252701,0.084745005,0.22727202,124.33359,265.36484,205.25473,0.7574747474747474,0.6105050505050504
6,0.10312724,0.14829299,0.09246345,0.24075644,129.05481,266.78424,211.61426,0.7294805194805194,0.5711399711399711
7,0.115351126,0.1674674,0.09682127,0.26428866,134.47824,279.05643,213.25807,0.7375613275613275,0.5843578643578644
8,0.13850129,0.1811605,0.10119137,0.28235188,143.87323,282.6471,212.60092,0.7262626262626263,0.5318181818181819
9,0.14304331,0.21028593,0.107328564,0.31761453,127.88912,265.62415,191.56076,0.714862914862915,0.6635930735930735
10,0.144045,0.2560368,0.10764854,0.3636853,101.30159,230.12125,151.48723,0.7026695526695527,0.6838095238095236
11,0.18587707,0.25939363,0.10627975,0.3656734,87.81555,177.54704,114.583206,0.6872005772005771,0.6858441558441559
