layer,tf_gene,margin,dist_to_tgt_centroid,dist_to_tf_centroid
2,NFIX,1.3638511,4.6777472,3.3138962
2,RUNX3,0.79779434,4.2251973,3.427403
2,HDAC9,1.1783049,4.599479,3.4211743
2,PRDM1,0.6865697,3.5296464,2.8430767
2,MXD1,1.0246606,4.4580173,3.4333568
2,HIPK2,1.3050973,3.9586563,2.653559
2,YBX1,0.98546433,4.06272,3.0772555
2,SPI1,0.069536686,4.5505056,4.480969
2,RORA,1.1577406,5.295302,4.1375613
2,MEF2C,1.0624888,4.0617027,2.999214
2,ESR1,0.6700721,4.417925,3.7478528
2,CREM,1.042557,2.85397,1.811413
2,NFKBIA,-0.27081704,3.2142127,3.4850297
2,SLA2,0.5563338,3.7275405,3.1712067
2,GATA1,-0.32401657,4.251104,4.5751204
2,TRPS1,1.3708382,4.448485,3.0776467
2,LYL1,0.19072843,3.1438713,2.953143
2,KLF1,-0.6415105,4.3238096,4.96532
2,NFKB1,1.5427365,4.4465733,2.9038367
2,ZBTB16,1.2489166,4.0142756,2.765359
2,SOX6,0.3390956,4.325784,3.9866886
2,POU2AF1,-0.15186071,4.5762672,4.728128
2,BACH2,1.0943298,4.607205,3.512875
2,BCL6,0.16109228,2.973417,2.8123248
2,FHL2,0.879061,3.6557143,2.7766533
2,TNFAIP3,0.45572472,3.1707633,2.7150385
2,FOXO3,1.5207024,5.278942,3.7582397
2,NR4A3,0.17166948,3.7343245,3.562655
2,BCL11A,1.7835822,4.109054,2.3254719
2,MSX2,-0.37038016,2.5066092,2.8769894
2,EGR1,-0.6985326,1.6826043,2.381137
2,RUNX2,0.88760614,3.4799457,2.5923395
2,SOX9,-0.8551903,1.8172584,2.6724486
2,FOSB,-0.531024,2.5086057,3.0396297
2,KLF2,-0.47192836,2.3166962,2.7886245
2,PPARG,1.2110169,3.555729,2.344712
2,ETS1,1.2925456,3.2452688,1.9527233
2,NR5A1,-1.0601144,2.906246,3.9663603
2,STAT4,1.2764654,4.1034513,2.8269858
2,LEF1,0.67899895,4.6514587,3.9724598
2,RB1,1.5282335,5.848824,4.3205905
2,TOB1,0.66823053,3.171693,2.5034626
2,NFKBIZ,0.0941782,2.38123,2.287052
2,CREB5,0.2672627,3.205088,2.9378252
2,ZEB1,1.4989419,5.5088005,4.0098586
2,TCF7L2,1.1098831,4.0290046,2.9191215
2,SETBP1,1.4831977,5.7314677,4.24827
2,NR4A2,0.20690966,3.2948124,3.0879028
2,BATF,-0.8764887,4.5554404,5.431929
2,ERG,0.14830017,4.1942515,4.0459514
2,ETS2,0.92971206,3.5377266,2.6080146
2,TAL1,0.4526825,4.8678813,4.415199
2,HEY1,-1.023974,2.6646447,3.6886187
2,GFI1B,-0.6949353,3.6597571,4.3546925
2,CTNNB1,1.296536,4.2349477,2.9384117
2,RBPJ,1.3082933,5.7579155,4.449622
2,STAT3,1.3222659,3.5195634,2.1972976
2,ONECUT1,-0.15975857,4.0281034,4.187862
2,FOS,-0.5291803,2.5836036,3.112784
2,HOPX,0.087430716,2.5009644,2.4135337
2,MAL,-0.13748169,4.353767,4.4912486
2,CEBPB,0.35011935,4.0420732,3.691954
2,RELA,0.5824671,4.7772207,4.1947536
2,JUN,0.16885757,2.7061007,2.5372431
2,MAF,0.66579044,2.5606995,1.894909
2,GATA2,0.37740326,2.913998,2.5365946
2,WT1,-0.257802,5.4775767,5.7353787
2,PBX1,1.2207069,6.206119,4.985412
2,MYBL1,0.59586763,4.522418,3.9265504
2,PAX5,-0.25129557,5.885429,6.1367245
2,CEBPD,0.23614192,3.2925801,3.0564382
2,NCOA4,0.7731414,4.3882055,3.6150641
2,DACH1,0.650095,5.017783,4.367688
3,NFIX,1.389112,4.3427243,2.9536123
3,RUNX3,0.49154496,4.4608984,3.9693534
3,HDAC9,1.1559727,4.7707243,3.6147516
3,PRDM1,0.38693237,2.7001936,2.3132613
3,MXD1,0.84968877,4.287814,3.4381254
3,HIPK2,1.2419255,4.1614165,2.919491
3,YBX1,1.1830804,4.314746,3.1316655
3,SPI1,-0.21005464,3.8562691,4.0663238
3,RORA,1.1803646,5.8268776,4.646513
3,MEF2C,1.186101,3.8485932,2.6624923
3,ESR1,0.43062615,3.6468902,3.216264
3,CREM,1.097737,3.0363216,1.9385847
3,NFKBIA,0.39548087,3.4277337,3.0322528
3,SLA2,0.14601707,4.838775,4.692758
3,GATA1,-0.35612488,4.010428,4.366553
3,TRPS1,1.381211,4.4666634,3.0854523
3,LYL1,-0.05855131,3.0698307,3.128382
3,KLF1,-0.4507017,4.546282,4.9969835
3,NFKB1,1.4450173,4.556595,3.1115775
3,ZBTB16,1.2066469,4.162379,2.9557319
3,SOX6,0.4578867,4.9922624,4.5343757
3,POU2AF1,-0.5267334,4.7474756,5.274209
3,BACH2,1.2025194,4.469737,3.2672176
3,BCL6,0.31091332,2.91989,2.6089766
3,FHL2,1.1503246,3.569954,2.4196293
3,TNFAIP3,0.6046717,3.491388,2.8867164
3,FOXO3,1.3993402,5.48068,4.08134
3,NR4A3,0.2449665,4.08236,3.8373933
3,BCL11A,1.7305508,3.979574,2.2490232
3,MSX2,-0.91306615,3.2303874,4.1434536
3,EGR1,0.16606355,3.6738026,3.507739
3,RUNX2,0.5704706,3.5568237,2.9863532
3,SOX9,-0.8690021,2.0170374,2.8860395
3,FOSB,0.11566234,3.510661,3.3949986
3,KLF2,-0.18903828,2.4199355,2.6089737
3,PPARG,1.0846424,3.6101773,2.5255349
3,ETS1,0.6612165,4.2308173,3.5696008
3,NR5A1,-1.1388404,3.279476,4.4183164
3,STAT4,0.84738064,5.077111,4.22973
3,LEF1,0.2998414,4.86806,4.5682187
3,RB1,1.4751093,5.2572775,3.7821681
3,TOB1,0.7024934,3.1079757,2.4054823
3,NFKBIZ,0.3725934,2.7270575,2.354464
3,CREB5,0.20416236,3.4018464,3.197684
3,ZEB1,1.4350662,5.579617,4.144551
3,TCF7L2,1.1530223,3.8607934,2.707771
3,SETBP1,1.3510728,5.888968,4.537895
3,NR4A2,0.6128659,3.5694947,2.9566288
3,BATF,-0.8664832,4.7326484,5.5991316
3,ERG,-0.013113022,4.7973113,4.8104243
3,ETS2,0.8438132,4.556514,3.7127006
3,TAL1,0.47408056,4.576143,4.102062
3,HEY1,-0.8667855,3.5106187,4.377404
3,GFI1B,-0.9304571,3.0337465,3.9642036
3,CTNNB1,1.3991652,4.041588,2.6424227
3,RBPJ,1.2385454,5.946746,4.7082005
3,STAT3,1.2934725,3.726888,2.4334154
3,ONECUT1,-0.8541002,3.858139,4.7122393
3,FOS,0.28632545,2.9813697,2.6950443
3,HOPX,0.37388754,2.7254221,2.3515346
3,MAL,-0.3060279,4.3209543,4.626982
3,CEBPB,0.55774,4.3003435,3.7426035
3,RELA,0.32493567,4.2831883,3.9582527
3,JUN,1.1202285,3.0107758,1.8905473
3,MAF,0.75132656,2.4966462,1.7453196
3,GATA2,0.35603,3.197888,2.841858
3,WT1,-0.4807005,5.2198296,5.70053
3,PBX1,1.1350794,6.3221593,5.18708
3,MYBL1,0.10601044,5.1845746,5.078564
3,PAX5,-0.61431885,5.255229,5.869548
3,CEBPD,0.4962654,3.8465135,3.350248
3,NCOA4,0.71032786,4.258912,3.5485842
3,DACH1,0.72962856,5.09596,4.3663316
