layer,n_pos,n_neg,mean_pos_dist,mean_neg_dist,auroc,mw_p,perm_null_mean,perm_null_std
0,245,716,3.7601194508672324,3.779271410528144,0.4977140576901151,0.5426314461444647,0.500028001368145,0.02123310629563061
1,245,716,3.3589141726182454,3.407209655075642,0.508003648386729,0.3541046304477755,0.500028001368145,0.02123310629563061
2,245,716,2.9217465173925854,3.0740731537248265,0.5308858739026336,0.07427819773091554,0.500028001368145,0.02123310629563061
3,245,716,3.0770605213782223,3.2008200432095815,0.5282521947326416,0.09317553974997583,0.500028001368145,0.02123310629563061
4,245,716,2.910805202900727,3.021379061193227,0.5252821799110705,0.11849987941562218,0.500028001368145,0.02123310629563061
5,245,716,2.4787231700017847,2.5870214142076042,0.5175806635503363,0.2054653712993979,0.500028001368145,0.02123310629563061
6,245,716,2.3627423685300823,2.6004571928277485,0.5489567894196785,0.011011452642517192,0.500028001368145,0.02123310629563061
7,245,716,2.393102942755966,2.6022047726877617,0.5457473492190172,0.01618380686684669,0.500028001368145,0.02123310629563061
8,245,716,2.288143106634259,2.540586236868053,0.5577300193820546,0.003463144083831097,0.500028001368145,0.02123310629563061
9,245,716,2.07333470091936,2.3380834329948774,0.5650952000912097,0.0011638004477538938,0.500028001368145,0.02123310629563061
10,245,716,1.7467578553670025,1.9175172811905457,0.5535571770607685,0.006119627176765158,0.500028001368145,0.02123310629563061
11,245,716,1.3616692559239232,1.4947277204402112,0.552200433245924,0.007309061064665968,0.500028001368145,0.02123310629563061
