layer,n_ffls,t_mean,t_median,t_std,frac_between_0_1,tstat_vs0,pval_vs0
0,20,0.5647801,0.4437272,0.6699999,0.55,3.674357819947608,0.0016112038859355513
1,20,0.58593994,0.49944115,0.63023555,0.6,4.052537131181747,0.000679550846208863
2,20,0.59811157,0.45085347,0.5517188,0.55,4.725429116844865,0.0001472292448141895
3,20,0.7696959,0.8994752,0.8738722,0.65,3.839264387824312,0.0011060535363891552
4,20,0.62190044,0.8056816,0.5910205,0.4,4.586644642327198,0.0002014634039250759
5,20,0.6004478,0.61698186,0.7139463,0.45,3.665949860216941,0.001642366546749642
6,20,0.7516899,0.80867016,0.9009677,0.5,3.6366901792329664,0.0017555458490253798
7,20,0.4591658,0.5273154,0.76667035,0.35,2.610584093611193,0.017192285898168538
8,20,0.22619705,0.8781625,2.1360722,0.35,0.4615808875492363,0.649622768725806
9,20,0.19694653,0.1687905,1.1028848,0.25,0.7783859952534826,0.44592755895825076
10,20,0.11559924,0.13306879,0.8946648,0.35,0.5632113529627073,0.5798775220257226
11,20,0.10561693,0.08667065,0.84895,0.5,0.5422857729556264,0.5939256658502243
