layer,subspace,n_ffls,t_mean,t_stat,p_val,frac_between
0,SV2_4,226,0.6012556,11.257494043850325,1.3046926835874022e-23,0.7389380530973452
0,SV5_7,226,0.34268484,6.089517877160425,4.846000108171471e-09,0.672566371681416
0,SV2_7,226,0.50909257,21.19098490896839,1.6021842786352013e-55,0.8849557522123894
1,SV2_4,226,0.44774526,8.63860837567251,1.0642273849611455e-15,0.7831858407079646
1,SV5_7,226,0.3753724,5.360964874506248,2.0475410278695616e-07,0.6946902654867256
1,SV2_7,226,0.43893912,19.757608343841813,4.6381823740609747e-51,0.8761061946902655
2,SV2_4,226,0.31065652,7.587547572060612,8.55749551140125e-13,0.7035398230088495
2,SV5_7,226,0.43048027,7.570292699897008,9.513639206035392e-13,0.7123893805309734
2,SV2_7,226,0.34482297,14.452190841935517,6.311309736510419e-34,0.8761061946902655
3,SV2_4,226,0.29983008,6.598992501622759,2.9296781908686243e-10,0.588495575221239
3,SV5_7,226,0.3598293,5.792365073264931,2.3215044852982633e-08,0.6991150442477876
3,SV2_7,226,0.34707123,12.879382009990076,8.40948503389689e-29,0.8141592920353983
4,SV2_4,226,0.15627249,2.9410731938879517,0.0036124929390801406,0.5486725663716814
4,SV5_7,226,0.5155418,8.737647715088173,5.541537888801003e-16,0.6902654867256637
4,SV2_7,226,0.31520176,12.000625462426646,5.686226090133483e-26,0.8008849557522124
5,SV2_4,226,0.002502568,0.04334100939515582,0.9654681391440378,0.4026548672566372
5,SV5_7,226,0.59292495,14.037199557431853,1.433882961348103e-32,0.7168141592920354
5,SV2_7,226,0.34027457,11.915970790981616,1.0603948154122983e-25,0.8053097345132744
6,SV2_4,226,0.037213426,0.6266393447122593,0.5315309402099042,0.4469026548672566
6,SV5_7,226,0.6015244,14.404315862051797,9.050563958734541e-34,0.7345132743362832
6,SV2_7,226,0.3503684,12.865242517725155,9.344589118052071e-29,0.831858407079646
7,SV2_4,226,0.14639796,2.688674996206365,0.007710456628152525,0.5176991150442478
7,SV5_7,226,0.603501,16.875247506645735,7.777720362306035e-42,0.7256637168141593
7,SV2_7,226,0.39576215,15.067826312160866,6.112651407430979e-36,0.8584070796460177
8,SV2_4,226,0.059461918,1.228195530578757,0.22065677811990947,0.43805309734513276
8,SV5_7,226,0.5836592,12.32120340477313,5.326957317372959e-27,0.7123893805309734
8,SV2_7,226,0.44364467,19.764609717605474,4.4088699360103045e-51,0.8584070796460177
9,SV2_4,226,0.19779874,3.67736478391506,0.00029479112485122265,0.45132743362831856
9,SV5_7,226,0.5245539,10.55148546503789,2.0916885007909475e-21,0.7433628318584071
9,SV2_7,226,0.46139532,20.285521894829092,1.0281783137255284e-52,0.8362831858407079
10,SV2_4,226,0.29562506,5.611468531549337,5.867636942667002e-08,0.6460176991150443
10,SV5_7,226,0.45544505,8.802736961767005,3.602059208973452e-16,0.7566371681415929
10,SV2_7,226,0.45147994,18.81417565341274,4.4921933219183466e-48,0.8584070796460177
11,SV2_4,226,0.5214393,7.5131538297087115,1.3497472991886443e-12,0.6017699115044248
11,SV5_7,226,0.47639215,12.40995795603669,2.7598161379617274e-27,0.7477876106194691
11,SV2_7,226,0.520908,16.113176872943384,2.347870963808132e-39,0.8141592920353983
