layer,subspace,auroc
0,SV5-7,0.6017232095977134
0,SV2-4,0.44877358711416454
1,SV5-7,0.6006173589566657
1,SV2-4,0.45859692970379473
2,SV5-7,0.5796440989156644
2,SV2-4,0.4809190599823644
3,SV5-7,0.5743968822146442
3,SV2-4,0.4850448192792574
4,SV5-7,0.5905588001520544
4,SV2-4,0.4783417145366965
5,SV5-7,0.5677261057670333
5,SV2-4,0.4864717233322222
6,SV5-7,0.5508473914967666
6,SV2-4,0.49978317747007683
7,SV5-7,0.5494115692934707
7,SV2-4,0.5087436890151797
8,SV5-7,0.5241029734227972
8,SV2-4,0.524564487702428
9,SV5-7,0.49387601764456035
9,SV2-4,0.4977732493392208
10,SV5-7,0.4916286437611407
10,SV2-4,0.5148058017026979
11,SV5-7,0.4976528543097519
11,SV2-4,0.5189438234562961
