layer,auroc,perm_mean,perm_std,perm_p,nz_count,r_auroc_layer,p_auroc_layer,r_auroc_nz,p_auroc_nz
0,0.6017232095977134,0.5019234443680208,0.013803628585113768,0.0,2039,-0.9580419580419581,9.5435818268384e-07,,
1,0.6006173589566657,0.4989727740018081,0.012887986671057625,0.0,2039,-0.9580419580419581,9.5435818268384e-07,,
2,0.5796440989156644,0.5007139397378286,0.014021689879190282,0.0,2039,-0.9580419580419581,9.5435818268384e-07,,
3,0.5743968822146442,0.5001518705262935,0.014024863321067945,0.0,2039,-0.9580419580419581,9.5435818268384e-07,,
4,0.5905588001520544,0.4996783585475454,0.016384529779492136,0.0,2039,-0.9580419580419581,9.5435818268384e-07,,
5,0.5677261057670333,0.5000670895727872,0.013982644932169282,0.0,2039,-0.9580419580419581,9.5435818268384e-07,,
6,0.5508473914967666,0.49798452868132886,0.013663458035234331,0.0,2039,-0.9580419580419581,9.5435818268384e-07,,
7,0.5494115692934707,0.5014366917229531,0.014084620366413655,0.0,2039,-0.9580419580419581,9.5435818268384e-07,,
8,0.5241029734227972,0.49926738788491576,0.014014347189679435,0.045,2039,-0.9580419580419581,9.5435818268384e-07,,
9,0.49387601764456035,0.5015959336578797,0.013318359875178347,0.755,2039,-0.9580419580419581,9.5435818268384e-07,,
10,0.4916286437611407,0.5001964278348848,0.013027227584048241,0.76,2039,-0.9580419580419581,9.5435818268384e-07,,
11,0.4976528543097519,0.4981376561094346,0.015564944638480158,0.525,2039,-0.9580419580419581,9.5435818268384e-07,,
