target,method,n_known_interactors,p_at_5,p_at_10,p_at_25
BCL2,ppi_sv2-4,25,0.0,0.1,0.04
BCL2,scgpt_full512,25,0.0,0.0,0.0
BCL2,coexpression,25,0.0,0.0,0.0
BCL2,random,25,0.0,0.0,0.0
TNFRSF17,ppi_sv2-4,4,0.0,0.0,0.0
TNFRSF17,scgpt_full512,4,0.0,0.0,0.0
TNFRSF17,coexpression,4,0.0,0.0,0.0
TNFRSF17,random,4,0.0,0.0,0.0
CXCR4,ppi_sv2-4,30,0.0,0.0,0.0
CXCR4,scgpt_full512,30,0.0,0.0,0.08
CXCR4,coexpression,30,0.2,0.1,0.08
CXCR4,random,30,0.0,0.0,0.0
IRF4,ppi_sv2-4,14,0.0,0.0,0.04
IRF4,scgpt_full512,14,0.0,0.0,0.0
IRF4,coexpression,14,0.0,0.0,0.08
IRF4,random,14,0.0,0.0,0.0
IRF8,ppi_sv2-4,10,0.0,0.0,0.0
IRF8,scgpt_full512,10,0.2,0.1,0.04
IRF8,coexpression,10,0.0,0.0,0.04
IRF8,random,10,0.0,0.0,0.0
PRDM1,ppi_sv2-4,1,0.0,0.0,0.0
PRDM1,scgpt_full512,1,0.0,0.0,0.0
PRDM1,coexpression,1,0.0,0.0,0.0
PRDM1,random,1,0.0,0.0,0.0
MEF2C,ppi_sv2-4,2,0.0,0.0,0.0
MEF2C,scgpt_full512,2,0.0,0.1,0.04
MEF2C,coexpression,2,0.0,0.1,0.04
MEF2C,random,2,0.0,0.0,0.0
IL10,ppi_sv2-4,47,0.0,0.0,0.04
IL10,scgpt_full512,47,0.0,0.0,0.04
IL10,coexpression,47,0.0,0.1,0.04
IL10,random,47,0.0,0.0,0.0
